978-4-04-734772-4	初音ミク10th Anniversary Book					KADOKAWA		2017.8	143p	26cm	録音ディスク(1枚 12cm)					¥3000	
978-4-04-734780-9	魔王城のシェフ 2		水城水城 著			KADOKAWA		2017.8	285p	15cm		ファミ通文庫 み2-4-2			魔神のグルメバーガーで制する美食の闘宴	¥620	
978-4-04-734782-3	赫光の護法枢機卿		嬉野秋彦 著			KADOKAWA		2017.8	317p	15cm		ファミ通文庫 う1-11-1				¥640	
978-4-04-734795-3	女王様、狂犬騎士団を用意しましたので死ぬ気で躾をお願いします 2	Queen,I prepared a knight group of crazy dogs,so please train with a feeling of death	帰初心 著	藤未都也 画		KADOKAWA		2017.8	285p	19cm						¥1200	
978-4-04-734798-4	白骨の貴方に臓物と愛を		葛城阿高 著			KADOKAWA		2017.8	319p	19cm		eロマンスロイヤル				¥1200	
978-4-04-892869-4	ラブライブ!サンシャイン!!TVアニメオフィシャルBOOK		電撃G'sマガジン編集部 編集			KADOKAWA		2017.8	128p	30cm						¥2000	
978-4-04-893241-7	マギサ・ガーデン 8	アクセル・ワールド/デュラル	笹倉綾人 作画	川原礫 原案		KADOKAWA		2017.8				電撃コミックス				¥680	
978-4-04-893251-6	俺の幼妻が無垢すぎて可愛すぎて辛抱たまらんっ!	オトナな陛下にとろとろに甘やかされまくり♡	葉月エリカ 著			KADOKAWA		2017.9	332p	15cm		ジュエル文庫 は2-1				¥640	
978-4-04-893255-4	童貞冷血CEO		三津留ゆう 著			KADOKAWA		2017.9	335p	15cm		ジュエル文庫 み4-2				¥640	
978-4-04-893323-0	開運!まいにち神様	大祓詞で最強の「お清め」	立花大敬 著			KADOKAWA		2017.8	207p	19cm						¥1380	
978-4-04-896032-8	保育園児くもくんの連絡帳		たきれい 著			KADOKAWA		2017.8	192p	19cm						¥1000	
978-4-04-896077-9	九州ウォーカー 2017秋	KyushuWalker				KADOKAWA		2017.8	109p	30cm		ウォーカームック No.766				¥680	
978-4-04-896112-7	「2.5次元男子推しTV」公式本 鈴木拡樹、MCはじめました		WOWOW 監修			KADOKAWA		2017.9	108p	20×21cm						¥2400	
978-4-05-204556-1	あぶない生き物					学研プラス		2017.9	34p	29cm		はっけんずかんプラス				¥1980	
978-4-05-204650-6	おててをぽん	おててであそぶ絵本 なににみえる?	天明幸子 絵	ささがわいさむ 作		学研プラス		2017.9	1冊(ページ付なし)	18×18cm						¥900	
978-4-05-204652-0	きょうふのおばけにんじん		ピーター・ブラウン 絵	アーロン・レイノルズ 作		学研プラス		2017.9	34p	32cm						¥1600	
978-4-05-204678-0	3つのとんち	長ぐつをはいたねこ/一休さん/うさぎどんきつねどん	間所ひさこ 文	武田美穂 絵		学研プラス		2017.9	95p	22cm		ランドセル名作 4				¥980	
978-4-05-204692-6	ちいさなプリンセスソフィアまちがいさがし	2・3・4歳 ソフィアやなかまたちといっしょにまなぼう	榊原洋一 監修			学研プラス		2017.9	60p	21×30cm		学研わくわく知育ドリル				¥790	
978-4-05-204701-5	平家物語	せめぎあう、平家と源氏の熱き戦い!	弦川琢司 文	夏生 絵		学研プラス		2017.9	153p	21cm		10歳までに読みたい日本名作 6				¥940	
978-4-05-406563-5	直感をみがいて自分らしく幸せに生きる	命の力を取り戻すインナーチャイルドの癒し方	上地一美 著			学研プラス		2017.9	189p	19cm						¥1300	
978-4-05-406576-5	美智子さまに学ぶエレガンス		渡邉みどり 著			学研プラス		2017.9	238p	19cm						¥1400	
978-4-05-406583-3	聖徳太子の「未来記」とイルミナティ	モーツァルトのオペラ「魔笛」に隠された暗号を解く!!	中山市朗 著			学研プラス		2017.9	286p	19cm		MU SUPER MYSTERY BOOKS				¥1600	
978-4-05-406584-0	うちのダンナがかわいすぎるっ!	元♀のイケメンと入籍しました!!	安藤たむ 著			学研プラス		2017.9	143p	21cm						¥1000	
978-4-05-406585-7	荒俣宏妖怪探偵団ニッポン見聞録 東北編		荒俣宏 著	荻野慎諧 著		学研プラス		2017.9	257p	19cm						¥1600	
978-4-05-406586-4	「とにかく優位に立ちたい人」を軽くかわすコツ		石原加受子 著			学研プラス		2017.9	210p	19cm						¥1400	
978-4-05-406593-2	図解心をつかむ「話し方」と「聞き方」が驚くほど身につく本	これ1冊で完ペキ!	櫻井弘 著			学研プラス		2017.9	251p	15cm						¥550	
